,spoofed_synthethic_cyclegan_003,spoofed_synthethic_cyclegan_004,spoofed_synthethic_cyclegan_005,spoofed_synthethic_cyclegan_006,spoofed_synthethic_distancegan_003,spoofed_synthethic_distancegan_004,spoofed_synthethic_distancegan_005,spoofed_synthethic_distancegan_006,spoofed_synthethic_drit_003,spoofed_synthethic_drit_004,spoofed_synthethic_drit_005,spoofed_synthethic_drit_006,spoofed_synthethic_stargan-v2_003,spoofed_synthethic_stargan-v2_004,spoofed_synthethic_stargan-v2_005,spoofed_synthethic_stargan-v2_006
spoofed_synthethic_cyclegan_003,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_004,14,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_cyclegan_005,0,0,57,7,0,0,0,0,0,0,0,0,0,1,0,1
spoofed_synthethic_cyclegan_006,0,0,16,50,0,0,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_003,0,0,0,0,36,30,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_004,0,0,1,0,25,40,0,0,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_005,0,0,0,0,0,0,43,23,0,0,0,0,0,0,0,0
spoofed_synthethic_distancegan_006,0,0,0,0,0,0,16,50,0,0,0,0,0,0,0,0
spoofed_synthethic_drit_003,0,0,0,0,0,0,0,0,60,6,0,0,0,0,0,0
spoofed_synthethic_drit_004,0,0,0,0,0,0,0,0,4,62,0,0,0,0,0,0
spoofed_synthethic_drit_005,0,0,0,0,0,0,0,0,2,1,59,4,0,0,0,0
spoofed_synthethic_drit_006,0,0,0,0,0,0,0,0,2,0,14,50,0,0,0,0
spoofed_synthethic_stargan-v2_003,0,0,0,0,0,0,0,0,0,0,0,0,61,4,0,1
spoofed_synthethic_stargan-v2_004,0,0,0,0,0,0,0,0,0,1,0,0,10,55,0,0
spoofed_synthethic_stargan-v2_005,0,0,0,0,0,0,0,1,0,0,0,0,1,1,63,0
spoofed_synthethic_stargan-v2_006,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,63
